"[run number]","heavy-tail-dist","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"312","cauchy","2.04","300","levy","1568","1","0","0"
"313","cauchy","2.08","300","levy","1800","1","0","0"
"314","cauchy","2.08","300","levy","1575","1","0","0"
"315","cauchy","2.08","300","levy","1601","1","0","0"
"316","cauchy","2.08","300","levy","2025","1","0","0"
"317","cauchy","2.12","300","levy","1692","2","9.198952499907744","52.188650577896645"
"318","cauchy","2.12","300","levy","1690","1","0","0"
"319","cauchy","2.12","300","levy","1735","2","5.821142129374646","117.51710260417461"
"320","cauchy","2.12","300","levy","1552","1","0","0"
"323","cauchy","2.16","300","levy","1762","1","0","0"
"321","cauchy","2.16","300","levy","1747","1","0","0"
"322","cauchy","2.16","300","levy","1922","1","0","0"
"326","cauchy","2.2","300","levy","1577","1","0","0"
"324","cauchy","2.16","300","levy","1893","1","0","0"
"325","cauchy","2.2","300","levy","1818","1","0","0"
"327","cauchy","2.2","300","levy","1612","1","0","0"
"310","cauchy","2.04","300","levy","1507","1","0","0"
"328","cauchy","2.2","300","levy","1548","1","0","0"
"330","cauchy","2.24","300","levy","1614","1","0","0"
"329","cauchy","2.24","300","levy","1432","1","0","0"
"331","cauchy","2.24","300","levy","2034","1","0","0"
"332","cauchy","2.24","300","levy","1635","1","0","0"
"333","cauchy","2.28","300","levy","1509","1","0","0"
"335","cauchy","2.28","300","levy","1422","1","0","0"
"334","cauchy","2.28","300","levy","2012","1","0","0"
"336","cauchy","2.28","300","levy","1713","2","9.245716602820156","198.95364170945234"
"338","cauchy","2.32","300","levy","1610","1","0","0"
"340","cauchy","2.32","300","levy","1577","1","0","0"
"341","cauchy","2.36","300","levy","1644","1","0","0"
"339","cauchy","2.32","300","levy","1923","4","10.103557825026027","129.1138742342919"
"291","cauchy","1.84","300","levy","1514","1","0","0"
"337","cauchy","2.32","300","levy","1493","1","0","0"
"342","cauchy","2.36","300","levy","1769","1","0","0"
"343","cauchy","2.36","300","levy","1918","1","0","0"
"345","cauchy","2.4","300","levy","1681","1","0","0"
"347","cauchy","2.4","300","levy","1732","1","0","0"
"346","cauchy","2.4","300","levy","2151","1","0","0"
"349","cauchy","2.44","300","levy","1515","2","5.748971433169926","43.73690250572371"
"344","cauchy","2.36","300","levy","1781","1","0","0"
"348","cauchy","2.4","300","levy","1967","1","0","0"
"350","cauchy","2.44","300","levy","1527","1","0","0"
"351","cauchy","2.44","300","levy","1758","1","0","0"
"352","cauchy","2.44","300","levy","1572","1","0","0"
"353","cauchy","2.48","300","levy","1857","1","0","0"
"354","cauchy","2.48","300","levy","1708","1","0","0"
"356","cauchy","2.48","300","levy","1795","1","0","0"
"358","cauchy","2.52","300","levy","1525","1","0","0"
"357","cauchy","2.52","300","levy","1681","1","0","0"
"355","cauchy","2.48","300","levy","1765","1","0","0"
"359","cauchy","2.52","300","levy","1897","1","0","0"
"360","cauchy","2.52","300","levy","1764","1","0","0"
