"[run number]","heavy-tail-dist","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"550","lognormal","1","225","levy","7115","1020","12.439061742636532","18.518458964080402"
"551","lognormal","1","225","levy","7889","946","13.996308532689628","18.48224456541264"
"552","lognormal","1","225","levy","8675","985","13.802323490738296","18.526132637143128"
"553","lognormal","1","230","levy","8436","1093","13.179041505764786","18.419749634018594"
"554","lognormal","1","230","levy","7348","750","12.570853394645031","19.551783966009502"
"555","lognormal","1","230","levy","7760","957","13.599736799111255","18.766663864888393"
"556","lognormal","1","230","levy","8531","1069","14.027802269167015","18.67632720896923"
"557","lognormal","1","235","levy","8874","766","10.613766307288127","19.723450613489433"
"558","lognormal","1","235","levy","8424","968","14.770253319074303","19.30826800315074"
"559","lognormal","1","235","levy","8282","630","10.480795087722633","19.218399328237044"
"561","lognormal","1","240","levy","7076","903","13.541148247231131","19.54957241016359"
"560","lognormal","1","235","levy","8422","834","12.139591081571059","18.894943468963636"
"562","lognormal","1","240","levy","7838","831","12.364381088524574","19.133496728077418"
"564","lognormal","1","240","levy","7612","650","12.185740989602976","19.373993644476865"
"563","lognormal","1","240","levy","8563","669","9.543411482272312","19.523531265233125"
"565","lognormal","1","245","levy","8197","508","8.029982157221767","19.59100613836134"
"567","lognormal","1","245","levy","7491","903","11.651801078623986","19.890992602380056"
"566","lognormal","1","245","levy","8195","1169","13.188298557309587","19.515527348209854"
"568","lognormal","1","245","levy","7544","1035","12.764440983741906","20.136696977848793"
"569","lognormal","1","250","levy","6216","839","11.655987445072785","19.30812902164589"
"570","lognormal","1","250","levy","7116","839","12.757198313019412","19.925281716715528"
"571","lognormal","1","250","levy","7420","809","11.044116062802612","20.4260867897967"
"572","lognormal","1","250","levy","7315","657","12.806546498421007","19.339405300009897"
"573","lognormal","1","255","levy","7421","834","13.197208732714632","20.10898923687967"
"574","lognormal","1","255","levy","7819","942","13.20008027337267","20.574020352697843"
"575","lognormal","1","255","levy","7348","847","11.81771801808651","20.21626130063924"
"577","lognormal","1","260","levy","7705","515","8.86506064159532","20.350032599353685"
"576","lognormal","1","255","levy","8879","896","12.233535704221762","19.671790113584155"
"578","lognormal","1","260","levy","7528","795","13.11896095832467","20.548058024801207"
"580","lognormal","1","260","levy","7475","607","10.415900624247403","20.155806812066206"
"579","lognormal","1","260","levy","7665","579","11.495512289562392","19.11180445806316"
"581","lognormal","1","265","levy","8533","1146","14.20679803144801","20.248712505814172"
"582","lognormal","1","265","levy","8110","1060","14.327292706523973","20.224149300766026"
"584","lognormal","1","265","levy","6961","849","12.398066720588048","19.7552717761339"
"583","lognormal","1","265","levy","7590","720","11.082070827695741","20.166179285408592"
"585","lognormal","1","270","levy","6983","863","12.677409546964302","20.671929198390767"
"587","lognormal","1","270","levy","7143","981","11.77841094144355","20.21068711150395"
"586","lognormal","1","270","levy","7883","664","8.936217862180243","21.0133207956804"
"588","lognormal","1","270","levy","7299","1027","12.065548108177033","21.358193811095425"
"590","lognormal","1","275","levy","6865","978","12.468375799393701","20.322564730417902"
