"[run number]","r","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"352","1","1","230","deterministic","2221","120","12.039630422014616","23.965365311029814"
"354","1","1","235","deterministic","2313","101","10.46714142684495","16.45419236521624"
"355","1","1","235","deterministic","2173","167","17.036801637395463","13.67891778729646"
"356","1","1","235","deterministic","2319","441","50.87680664436671","8.344553659386797"
"359","1","1","240","deterministic","2050","102","11.070947994521298","13.165762064406461"
"357","1","1","240","deterministic","2375","115","11.821986171366738","9.85622544109426"
"358","1","1","240","deterministic","2382","120","11.821314991456715","17.274475108081095"
"361","1","1","245","deterministic","2178","115","12.455607902235005","5.951096974318011"
"360","1","1","240","deterministic","2092","103","11.632812388302067","14.629430681063985"
"362","1","1","245","deterministic","2000","101","10.937409750068753","13.017207606560289"
"363","1","1","245","deterministic","2128","133","12.834832022194707","13.574436920596954"
"364","1","1","245","deterministic","1938","111","15.179116237757876","10.340690732011184"
"365","1","1","250","deterministic","2344","472","55.55787007418566","28.86562253542684"
"366","1","1","250","deterministic","1875","401","45.390415801019614","14.675252317451287"
"367","1","1","250","deterministic","2277","115","11.698434028508409","8.891284112684014"
"368","1","1","250","deterministic","1962","110","11.898693442129721","14.160788169679359"
"369","1","1","255","deterministic","1886","103","12.063839964664727","19.710229753200807"
"370","1","1","255","deterministic","2297","105","12.231957673346074","6.523227222711954"
"371","1","1","255","deterministic","2146","117","12.269959345319021","13.803742484709398"
"372","1","1","255","deterministic","2082","101","11.283764875382705","10.799161767591164"
"374","1","1","260","deterministic","1896","115","13.14954714972081","36.55032612613058"
"373","1","1","260","deterministic","1903","120","15.356249268336283","15.119641676252382"
"375","1","1","260","deterministic","1946","414","47.36289838544316","19.42885769763909"
"378","1","1","265","deterministic","1900","102","11.291901816916642","13.48306924219338"
"379","1","1","265","deterministic","1863","106","10.998348549255349","14.531206214465547"
"377","1","1","265","deterministic","2444","152","14.817101404015512","27.44932036184856"
"380","1","1","265","deterministic","2020","113","12.803884925023794","7.721196855760316"
"376","1","1","260","deterministic","2312","115","11.008218198636222","20.946605723116743"
"381","1","1","270","deterministic","2045","101","12.874522805885757","10.558208486291463"
"382","1","1","270","deterministic","1927","104","10.945857708721688","5.818320308677263"
"383","1","1","270","deterministic","1813","137","12.98593487433001","16.56008222241906"
"384","1","1","270","deterministic","1865","120","13.355194602044781","15.598140348434674"
"385","1","1","275","deterministic","2042","101","12.083651326781453","8.892364506116845"
"387","1","1","275","deterministic","1966","104","10.185222048279106","7.717886602342702"
"386","1","1","275","deterministic","2280","409","46.30558877169903","33.383577898469945"
"391","1","1","280","deterministic","1805","132","13.479651288509997","11.853921295696157"
"389","1","1","280","deterministic","1893","119","12.89783383308703","12.808926182892652"
"390","1","1","280","deterministic","1915","113","14.105061899938477","15.580125410881658"
"392","1","1","280","deterministic","1971","115","10.448108181604539","9.93452929943156"
"393","1","1","285","deterministic","2073","105","11.81128712241243","35.74183747884072"
"388","1","1","275","deterministic","2923","102","10.447992565956518","19.12174914440228"
"395","1","1","285","deterministic","1907","102","11.633150903356736","17.135193167805447"
"394","1","1","285","deterministic","2104","125","15.066119483820296","6.3981339067763185"
"396","1","1","285","deterministic","1878","101","9.738302581729709","7.717752424724268"
"397","1","1","290","deterministic","1869","101","11.07143159633749","6.948895109268762"
"399","1","1","290","deterministic","1902","118","12.485510492544025","14.267226416349994"
"398","1","1","290","deterministic","1958","122","12.144626475236635","11.970917868263706"
"400","1","1","290","deterministic","1882","121","11.200772927895239","19.77971840183162"
"401","1","1","295","deterministic","2072","104","13.789756761993162","19.9598457650688"
"402","1","1","295","deterministic","1976","107","12.035431951904151","11.538294984881698"
