"[run number]","r","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"264","1","1.56","300","deterministic","1642","66","12.763251386192708","24.173035652387192"
"266","1","1.6","300","deterministic","1444","63","12.232160062380332","20.98575946928261"
"268","1","1.6","300","deterministic","1422","72","9.607788024145652","23.826516583653966"
"267","1","1.6","300","deterministic","1606","72","13.169950224527966","9.334458592212279"
"269","1","1.64","300","deterministic","1377","76","9.862691690953476","16.09174407972789"
"270","1","1.64","300","deterministic","1428","70","10.83870932752869","19.410025809652694"
"271","1","1.64","300","deterministic","1383","62","9.630339608156293","37.770951734954814"
"272","1","1.64","300","deterministic","1526","65","10.46241853894468","30.65683823358757"
"274","1","1.68","300","deterministic","1530","63","13.083700707420558","19.592399043562654"
"273","1","1.68","300","deterministic","1637","65","12.380130124979948","65.74288318793694"
"275","1","1.68","300","deterministic","1410","60","8.995671492879039","13.476625001465617"
"277","1","1.72","300","deterministic","1480","62","8.825980504645218","9.596905780016996"
"276","1","1.68","300","deterministic","1663","64","8.594253999387636","39.66142770710994"
"278","1","1.72","300","deterministic","1606","62","10.335217885147616","26.531896043429285"
"280","1","1.72","300","deterministic","1460","62","11.964620777360539","15.04837611666757"
"279","1","1.72","300","deterministic","1587","60","11.55077295152792","42.56239016687019"
"281","1","1.76","300","deterministic","1428","60","11.088973833399363","20.9041623181498"
"282","1","1.76","300","deterministic","1622","63","13.493317478916286","41.888647433753604"
"285","1","1.8","300","deterministic","1413","59","12.378132549116062","21.743148945510868"
"283","1","1.76","300","deterministic","1822","61","11.123310712459723","39.4849738267746"
"287","1","1.8","300","deterministic","1293","59","10.571480291054725","35.16459132331432"
"284","1","1.76","300","deterministic","1766","58","11.949584754378064","15.14697996334633"
"286","1","1.8","300","deterministic","1755","60","10.250998725831847","38.592783916738824"
"288","1","1.8","300","deterministic","1707","79","13.569684750364749","42.654417683278005"
"289","1","1.84","300","deterministic","1545","62","13.045246856602963","25.917386155851947"
"290","1","1.84","300","deterministic","1452","57","10.726368134438967","37.81953722810193"
"292","1","1.84","300","deterministic","1439","64","14.150929288193268","49.380358660070115"
"291","1","1.84","300","deterministic","1624","58","10.988381831568619","41.16875563769294"
