"[run number]","dist-for-first","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"116","uniform","2.12","300","Discrete directions, continuous step","2919","275","6.054638751837452","35.93157566912356"
"120","uniform","2.16","300","Discrete directions, continuous step","2611","265","7.805378073875197","37.57224295496418"
"117","uniform","2.16","300","Discrete directions, continuous step","2944","281","5.167702535475463","38.35521660526816"
"119","uniform","2.16","300","Discrete directions, continuous step","3377","304","2.6431291499745697","40.272647783482256"
"118","uniform","2.16","300","Discrete directions, continuous step","3237","263","5.752183543727721","39.00921858455242"
"121","uniform","2.2","300","Discrete directions, continuous step","2829","315","5.518470706409914","39.79065060157787"
"122","uniform","2.2","300","Discrete directions, continuous step","2902","296","6.400429993633292","38.73295317883894"
"123","uniform","2.2","300","Discrete directions, continuous step","2952","295","6.015426195982478","40.59993743941947"
"125","uniform","2.24","300","Discrete directions, continuous step","2965","292","5.033066157923564","38.76553737737233"
"126","uniform","2.24","300","Discrete directions, continuous step","3029","192","3.784472307929523","38.20870779505702"
"124","uniform","2.2","300","Discrete directions, continuous step","3395","209","5.057870504753019","42.63094175973106"
"127","uniform","2.24","300","Discrete directions, continuous step","2871","275","5.1518683728850405","39.51530890548868"
"128","uniform","2.24","300","Discrete directions, continuous step","2789","314","5.943435998748029","40.30448973117038"
"129","uniform","2.28","300","Discrete directions, continuous step","2965","197","4.303412979779907","39.63674163306828"
"131","uniform","2.28","300","Discrete directions, continuous step","2903","270","7.827201207630999","40.703450119128156"
"130","uniform","2.28","300","Discrete directions, continuous step","3122","232","5.711662207941018","41.984459113325954"
"132","uniform","2.28","300","Discrete directions, continuous step","2820","260","5.4667661846193525","41.4873620632602"
"133","uniform","2.32","300","Discrete directions, continuous step","2686","257","6.548570548693839","41.37355073893119"
"134","uniform","2.32","300","Discrete directions, continuous step","3417","259","5.817341720773719","41.41809338385539"
"135","uniform","2.32","300","Discrete directions, continuous step","2872","266","6.338052685061868","40.537786843656306"
"136","uniform","2.32","300","Discrete directions, continuous step","2744","246","7.891019649022901","43.300801175716124"
"137","uniform","2.36","300","Discrete directions, continuous step","2647","225","6.130756719118885","41.71893131523803"
"139","uniform","2.36","300","Discrete directions, continuous step","2714","192","4.781048099709864","43.13026259611903"
"138","uniform","2.36","300","Discrete directions, continuous step","3027","293","7.263965100638892","39.51607450415836"
"140","uniform","2.36","300","Discrete directions, continuous step","2751","241","7.274111574199857","42.937104624250786"
"142","uniform","2.4","300","Discrete directions, continuous step","2730","237","6.107049071058377","43.52622481846904"
"143","uniform","2.4","300","Discrete directions, continuous step","2763","256","5.661320343216175","43.76610299872344"
"141","uniform","2.4","300","Discrete directions, continuous step","3106","195","3.5188517400413204","42.16497467126945"
"144","uniform","2.4","300","Discrete directions, continuous step","2828","306","6.189763852660704","42.29949610174485"
"145","uniform","2.44","300","Discrete directions, continuous step","3162","193","6.882540991456139","43.42480403838936"
"146","uniform","2.44","300","Discrete directions, continuous step","3041","291","5.836728073580364","43.076281156733224"
"148","uniform","2.44","300","Discrete directions, continuous step","2758","210","7.1688775354619665","41.32658697048638"
"147","uniform","2.44","300","Discrete directions, continuous step","2836","244","5.366753648712226","44.220848000606296"
"149","uniform","2.48","300","Discrete directions, continuous step","2731","172","6.940325926050534","43.17688712290577"
"150","uniform","2.48","300","Discrete directions, continuous step","2569","223","5.7987168866891885","44.67103894363823"
"152","uniform","2.48","300","Discrete directions, continuous step","2513","234","5.509652721506498","43.973306658541034"
"153","uniform","2.52","300","Discrete directions, continuous step","2655","177","5.017795005358998","42.93515801382428"
"155","uniform","2.52","300","Discrete directions, continuous step","2502","192","5.4270007373165825","46.04978451424643"
"151","uniform","2.48","300","Discrete directions, continuous step","3414","169","6.8469338767773635","45.60541976959697"
"154","uniform","2.52","300","Discrete directions, continuous step","2714","186","6.548892320831165","45.93457877582093"
"156","uniform","2.52","300","Discrete directions, continuous step","2919","167","6.013369910129043","42.8200608409177"
"157","uniform","2.56","300","Discrete directions, continuous step","2640","258","5.335195408453679","47.528840575115716"
"160","uniform","2.56","300","Discrete directions, continuous step","2270","250","6.626434023673475","44.76660204825258"
"159","uniform","2.56","300","Discrete directions, continuous step","2556","213","5.756056923805062","48.84395707517866"
"161","uniform","2.6","300","Discrete directions, continuous step","2525","173","6.75386416943817","44.64663140793077"
"162","uniform","2.6","300","Discrete directions, continuous step","2678","193","3.529172221767972","43.4190070805219"
"158","uniform","2.56","300","Discrete directions, continuous step","3060","197","6.316332232656833","46.717128058983306"
"163","uniform","2.6","300","Discrete directions, continuous step","2665","110","3.5563212025537396","42.996698879044835"
"165","uniform","2.64","300","Discrete directions, continuous step","2610","130","4.445627570103422","45.58376489208541"
"166","uniform","2.64","300","Discrete directions, continuous step","2295","110","4.286160368344223","45.2732408734333"
"164","uniform","2.6","300","Discrete directions, continuous step","2661","227","6.951521090178858","45.64487300103798"
"167","uniform","2.64","300","Discrete directions, continuous step","2201","132","5.237098740817597","44.87913615361458"
"168","uniform","2.64","300","Discrete directions, continuous step","2776","194","5.309067737216246","44.7340538761354"
"169","uniform","2.68","300","Discrete directions, continuous step","2200","182","4.993063915027847","44.90390349599759"
"173","uniform","2.72","300","Discrete directions, continuous step","2209","239","5.438714455793324","49.33270636300734"
"172","uniform","2.68","300","Discrete directions, continuous step","2326","201","8.11484165797485","45.045844325409405"
"170","uniform","2.68","300","Discrete directions, continuous step","2783","175","5.875681854018541","44.87764459369272"
"171","uniform","2.68","300","Discrete directions, continuous step","2750","152","5.706188125071694","44.94483648138673"
"174","uniform","2.72","300","Discrete directions, continuous step","2587","207","5.499102422296396","48.21539592149511"
"175","uniform","2.72","300","Discrete directions, continuous step","2325","184","6.5570818088272205","52.08943000590924"
"176","uniform","2.72","300","Discrete directions, continuous step","2134","206","5.244616639348443","48.07497866447711"
"177","uniform","2.76","300","Discrete directions, continuous step","2379","167","4.9736652651478295","48.32679162605484"
"179","uniform","2.76","300","Discrete directions, continuous step","2397","160","5.827800262859554","53.04610411718296"
"178","uniform","2.76","300","Discrete directions, continuous step","2666","218","6.96221801798594","45.52946017919264"
"180","uniform","2.76","300","Discrete directions, continuous step","2534","132","6.273540809723784","44.54722666357544"
"181","uniform","2.8","300","Discrete directions, continuous step","2579","171","5.8785374642158885","47.64312515010257"
"182","uniform","2.8","300","Discrete directions, continuous step","2409","160","5.888153505063208","47.06836143728524"
"185","uniform","2.84","300","Discrete directions, continuous step","2403","161","4.930165747164743","50.48500955068407"
"183","uniform","2.8","300","Discrete directions, continuous step","2325","158","4.666502497766704","48.56459601215724"
"184","uniform","2.8","300","Discrete directions, continuous step","2573","132","4.283563777800378","47.60898937363301"
"186","uniform","2.84","300","Discrete directions, continuous step","2201","124","6.159050115018221","53.12036290168222"
"187","uniform","2.84","300","Discrete directions, continuous step","2516","150","6.599375881921247","50.39642594257783"
"188","uniform","2.84","300","Discrete directions, continuous step","2469","204","6.942876403656733","50.899377856632"
"192","uniform","2.88","300","Discrete directions, continuous step","2280","196","6.337427934032085","50.61723817402527"
"191","uniform","2.88","300","Discrete directions, continuous step","2522","123","4.375659424300235","48.325394707928744"
"190","uniform","2.88","300","Discrete directions, continuous step","2595","189","7.044039320896779","54.419720335198"
"189","uniform","2.88","300","Discrete directions, continuous step","3301","184","6.971184583834578","50.40315832878706"
"193","uniform","2.92","300","Discrete directions, continuous step","2178","162","4.234334391544955","52.10043014065226"
"194","uniform","2.92","300","Discrete directions, continuous step","2765","198","6.079330565908414","52.06535635093738"
"195","uniform","2.92","300","Discrete directions, continuous step","2179","114","6.092824079896875","49.62043453563694"
"196","uniform","2.92","300","Discrete directions, continuous step","2409","161","5.572772490414451","48.40533292307537"
"199","uniform","2.96","300","Discrete directions, continuous step","2034","183","8.374174177411298","51.61313778792475"
"198","uniform","2.96","300","Discrete directions, continuous step","2331","172","5.308608079103671","50.8427550158707"
"197","uniform","2.96","300","Discrete directions, continuous step","2294","120","4.5787735000430985","50.84528218258071"
"200","uniform","2.96","300","Discrete directions, continuous step","2191","131","5.043380796293789","52.399491888249145"
"201","uniform","3","300","Discrete directions, continuous step","2141","173","8.15429454973102","57.237060787490556"
"202","uniform","3","300","Discrete directions, continuous step","2098","131","5.296338558009555","52.40417205103101"
"203","uniform","3","300","Discrete directions, continuous step","2153","164","6.451106792669307","56.944872056939566"
"204","uniform","3","300","Discrete directions, continuous step","2141","114","5.025433436088601","52.41769258905753"
"205","poisson","1","300","Discrete directions, continuous step","7159","901","13.81111197226684","21.375385739348054"
"206","poisson","1","300","Discrete directions, continuous step","7109","1087","11.59126758672651","21.551634277152594"
"207","poisson","1","300","Discrete directions, continuous step","6859","746","12.213900179982481","21.44044428601864"
"209","poisson","1.04","300","Discrete directions, continuous step","6687","680","10.93967358744014","21.80160340945382"
"210","poisson","1.04","300","Discrete directions, continuous step","6593","903","12.869782218040754","21.700829267418662"
"208","poisson","1","300","Discrete directions, continuous step","8442","1173","12.910650704780664","21.976010484916532"
"211","poisson","1.04","300","Discrete directions, continuous step","7083","533","8.864794085159154","22.285509812555723"
"212","poisson","1.04","300","Discrete directions, continuous step","6745","812","11.772229515964707","22.5734361280574"
"213","poisson","1.08","300","Discrete directions, continuous step","5695","663","12.639549491941473","22.86674614587311"
"214","poisson","1.08","300","Discrete directions, continuous step","6666","658","10.837784895611378","23.53104150577277"
